algorithm,key_generation_ms,encapsulation_ms,decapsulation_ms,exchange_ms,public_key_size,private_key_size,ciphertext_size,shared_secret_size,success,iteration
ECDH-P256,0.03699993249028921,0.12900005094707012,0.017915968783199787,0.1469160197302699,91,138,48,32,True,1
ECDH-P256,0.08975004311650991,0.14875002671033144,0.02887495793402195,0.1776249846443534,91,138,48,32,True,2
ECDH-P256,0.04483398515731096,0.13462500646710396,0.021042069420218468,0.15566707588732243,91,138,48,32,True,3
ECDH-P256,0.03866699989885092,0.1340840244665742,0.01958396751433611,0.1536679919809103,91,138,48,32,True,4
ECDH-P256,0.037334044463932514,0.13066700194031,0.019166036508977413,0.14983303844928741,91,138,48,32,True,5
ECDH-P256,0.03866699989885092,0.16299996059387922,0.019291997887194157,0.18229195848107338,91,138,48,32,True,6
ECDH-P256,0.038209022022783756,0.12999994214624166,0.019875005818903446,0.1498749479651451,91,138,48,32,True,7
ECDH-P256,0.03712496254593134,0.12995803263038397,0.018666964024305344,0.1486249966546893,91,138,48,32,True,8
ECDH-P256,0.037334044463932514,0.12904207687824965,0.01837499439716339,0.14741707127541304,91,138,48,32,True,9
ECDH-P256,0.03612495493143797,0.1252500806003809,0.017375103197991848,0.14262518379837275,91,138,48,32,True,10
ECDH-P256,0.03475008998066187,0.12487499043345451,0.01945788972079754,0.14433288015425205,91,138,48,32,True,11
ECDH-P256,0.06366695743054152,0.13229204341769218,0.02320797648280859,0.15550001990050077,91,138,48,32,True,12
ECDH-P256,0.038707978092134,0.12966699432581663,0.020542065612971783,0.15020905993878841,91,138,48,32,True,13
ECDH-P256,0.03616604954004288,0.12579199392348528,0.018167076632380486,0.14395907055586576,91,138,48,32,True,14
ECDH-P256,0.03570900298655033,0.12612505815923214,0.017749960534274578,0.14387501869350672,91,138,48,32,True,15
ECDH-P256,0.03541703335940838,0.12600002810359,0.017541926354169846,0.14354195445775986,91,138,48,32,True,16
ECDH-P256,0.03574998117983341,0.12949993833899498,0.0177919864654541,0.14729192480444908,91,138,48,32,True,17
