algorithm,key_generation_ms,encapsulation_ms,decapsulation_ms,exchange_ms,public_key_size,private_key_size,ciphertext_size,shared_secret_size,success,iteration
RSA-2048,31.094042002223432,0.08616701234132051,2.124208025634289,2.2103750379756093,294,1217,256,32,True,1
RSA-2048,123.35350003559142,0.08641695603728294,2.132958034053445,2.219374990090728,294,1218,256,32,True,2
RSA-2048,32.031457987613976,0.10016700252890587,2.165708923712373,2.2658759262412786,294,1217,256,32,True,3
RSA-2048,96.9515839824453,0.09512505494058132,2.135167014785111,2.2302920697256923,294,1217,256,32,True,4
RSA-2048,55.93183299060911,0.09033293463289738,2.148041967302561,2.238374901935458,294,1218,256,32,True,5
RSA-2048,109.24954095389694,0.09300000965595245,2.2680830443277955,2.361083053983748,294,1216,256,32,True,6
RSA-2048,63.36995796300471,0.08820800576359034,2.1894590463489294,2.2776670521125197,294,1217,256,32,True,7
RSA-2048,155.472332960926,0.09887490887194872,2.1329999435693026,2.2318748524412513,294,1217,256,32,True,8
RSA-2048,138.1455829832703,0.09062502067536116,2.179041039198637,2.269666059873998,294,1217,256,32,True,9
RSA-2048,27.99820899963379,0.08299993351101875,2.121665980666876,2.2046659141778946,294,1217,256,32,True,10
RSA-2048,73.90004093758762,0.09908294305205345,2.1471669897437096,2.246249932795763,294,1216,256,32,True,11
RSA-2048,51.98624997865409,0.09450002107769251,2.215582993812859,2.3100830148905516,294,1219,256,32,True,12
RSA-2048,50.48391700256616,0.0868749339133501,2.1597089944407344,2.2465839283540845,294,1218,256,32,True,13
RSA-2048,87.44320797268301,0.08820800576359034,2.1487079793587327,2.236915985122323,294,1216,256,32,True,14
RSA-2048,46.80654196999967,0.07595797069370747,2.1547499345615506,2.230707905255258,294,1218,256,32,True,15
RSA-2048,42.252250015735626,0.1052080187946558,2.146625076420605,2.251833095215261,294,1217,256,32,True,16
RSA-2048,34.7183330450207,0.09083305485546589,2.262583002448082,2.353416057303548,294,1218,256,32,True,17
RSA-2048,56.24075001105666,0.09374995715916157,2.177792019210756,2.2715419763699174,294,1216,256,32,True,18
RSA-2048,27.350082993507385,0.09437499102205038,2.1810410544276237,2.275416045449674,294,1218,256,32,True,19
RSA-2048,48.43129205983132,0.08283299393951893,2.130541019141674,2.213374013081193,294,1217,256,32,True,20
RSA-2048,127.6940000243485,0.09983300697058439,2.1172090200707316,2.217042027041316,294,1217,256,32,True,21
RSA-2048,63.16445907577872,0.09016599506139755,2.1484160097315907,2.2385820047929883,294,1217,256,32,True,22
RSA-2048,89.46483302861452,0.06916699931025505,2.149707986973226,2.218874986283481,294,1216,256,32,True,23
RSA-2048,67.094000056386,0.09062502067536116,2.1452909568324685,2.2359159775078297,294,1216,256,32,True,24
